Iax,Rtr,Ig3,Ig4,Ig5,fc,neg_avgEL
3.010987927608303,0.49624398508137574,1.2778564680389188,0.6467201394471077,0.5003134576944602,1.06926,-209.2966666666667
3.0118137054475786,0.4851004595522573,1.2984064896273757,0.6035712681870395,0.5036661755560352,1.071224,-209.98666666666668
3.0118222444437093,0.49651754121051805,1.3274444566971995,0.6073536143355697,0.5036661755560352,1.071228,-214.77666666666664
3.0171635472506866,0.49766061395492567,1.1681826307627112,0.5573262444798621,0.5004171882802495,1.081471,-231.98000000000002
3.005057512585606,0.48678692066954754,0.8942307094962305,0.5179187133095576,0.5001827769128275,1.100528,-253.11666666666667
3.0022426362681505,0.4991860301299757,1.3486560053565624,0.8425492646228661,0.5004371359605974,1.052538,-179.67333333333332
3.002201074273666,0.49647868621643415,1.4207052220185776,0.9691523217181169,0.5004314069206208,1.043616,-164.37333333333333
3.01170149222232,0.49651754121051805,1.329874181550865,0.6586770093778755,0.5035702215774218,1.066643,-204.80999999999997
3.0022426362681505,0.4991860301299757,1.4207052220185776,1.0134672427959908,0.5004314069206208,1.043118,-162.34666666666666
3.012120152804604,0.48678692066954754,0.8942307094962305,0.5176728835479814,0.5001827769128275,1.100397,-252.42999999999998
3.0002085082391057,0.4974807873922451,1.3295663696471538,0.6574603651547201,0.5011003946881306,1.067068,-207.15666666666667
3.0119171099369497,0.49734945896081095,1.4332102723686908,0.8517263880644244,0.5010159703460596,1.049732,-174.58333333333334
3.0009461637958283,0.49932325893261154,1.2650654891157744,0.8409737063146197,0.5034194262824511,1.055493,-182.02666666666664
3.011927133576657,0.497356856343376,1.4741561731548127,0.8496293806704219,0.503512062654931,1.049595,-173.34
3.0122901596649845,0.49889170972499103,1.4760845704905707,0.8805005162092172,0.503512062654931,1.047632,-170.66
3.012429830796356,0.4972958122045154,1.3244633839085647,0.8491363583008325,0.5033384233170413,1.052373,-177.18666666666664
3.0122801360252778,0.49751532249555586,1.435138669704449,0.8825975236032196,0.5010159703460596,1.047688,-171.27666666666664
3.012120152804604,0.48627662306956626,0.8942307094962305,0.541763392029405,0.5000697794579294,1.098148,-246.66
3.0171635472506866,0.4992301424300543,1.2352597814146802,0.5573262444798621,0.5004171882802495,1.07905,-230.17
3.0171635472506866,0.49766061395492567,1.1681826307627112,0.543727565763034,0.5004171882802495,1.08268,-234.98000000000002
3.0017308371104625,0.49739516811693074,1.1647776373503895,0.5573262444798621,0.5004177702319081,1.081923,-233.4333333333333
3.0016211646709934,0.49650804308778684,1.1978453462221461,0.5587123418727051,0.5000221652386995,1.080321,-231.32000000000002
3.01113302679666,0.4974807873922451,1.3295663696471538,0.6716586851105757,0.5011003946881306,1.065637,-203.59666666666666
3.0171635472506866,0.4973940562876798,1.161793442475522,0.5573262444798621,0.5004171882802495,1.081706,-232.10666666666665
3.00127104469946,0.4957704459569358,1.0661904808492784,0.5346194571161473,0.5004314069206208,1.089024,-242.53999999999996
3.012429830796356,0.4972958122045154,1.3206688612146122,0.8980214590386123,0.5034444022041995,1.049347,-172.14333333333335
3.0124084367552784,0.4972958122045154,1.3455314440790564,0.8399937172958816,0.5033384233170413,1.052388,-177.63333333333333
3.0118442962183813,0.499179602041786,1.2670358112305113,0.9052014872575235,0.5000185601689707,1.050913,-174.89666666666668
3.0108822443432164,0.49857643546050145,1.3981034588851577,0.9346031391278528,0.5032804695727356,1.045525,-167.41666666666666
3.0064047552258497,0.4938434895123215,1.4448556130584782,0.6714676457248806,0.5032372550939571,1.063066,-198.61333333333332
3.0171635472506866,0.4973940562876798,1.1681826307627112,0.5573262444798621,0.5004171882802495,1.081436,-231.82666666666668
3.001332633596436,0.4957704459569358,1.0729792724863945,0.5167557483012837,0.5003072167989315,1.090166,-246.16666666666666
3.002201074273666,0.49647868621643415,1.4207052220185776,0.9691523217181169,0.5004314069206208,1.043616,-164.37333333333333
3.002794191161487,0.49772866353883066,1.3295663696471538,0.658812249361808,0.5011003946881306,1.06693,-206.81000000000003
3.011198060395808,0.49992442238464085,1.4070213685104012,0.9937379441914859,0.5012210901137599,1.043397,-163.56666666666666
3.0022732721574545,0.4961753214001891,1.4207052220185776,0.9097821285572296,0.5003087733047745,1.046276,-169.28
3.0185364809254156,0.4976972311445116,1.2746444371734627,0.8821469419805816,0.5004314069206208,1.051697,-175.55333333333337
3.002794191161487,0.4974807873922451,1.3295663696471538,0.658812249361808,0.5011003946881306,1.066897,-206.67666666666665
3.0108822443432164,0.4986686538002193,1.3479142405831113,0.6934479126843942,0.5034444022041995,1.063511,-199.41333333333333
3.0022426362681505,0.4991860301299757,1.4207052220185776,0.5508675026052908,0.5004158574526951,1.074447,-227.29666666666662
